2026-08-15T14:18:15.650541293Z [inf]  [SafeOdds] Descargados momios en vivo para 0 partidos.
2026-08-15T14:18:45.663561770Z [inf]  [2:18:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:18:45.663565145Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:18:45.663567944Z [inf]  [API-Sports] Consultando eventos en vivo para KFUM Oslo vs Lillestrom (fixture: 1494736)
2026-08-15T14:18:45.663570896Z [inf]  [API-Sports] Consultando eventos en vivo para Häcken II W vs Linköping W (fixture: 1501446)
2026-08-15T14:18:45.663574426Z [inf]  [API-Sports] Consultando eventos en vivo para Laholm vs Jonkopings Sodra (fixture: 1504502)
2026-08-15T14:18:45.663577914Z [inf]  [API-Sports] Consultando eventos en vivo para Kolkheti Poti vs Telavi (fixture: 1507196)
2026-08-15T14:18:45.663580962Z [inf]  [API-Sports] Consultando eventos en vivo para IFK Skövde vs Herrestads (fixture: 1510635)
2026-08-15T14:18:45.663583834Z [inf]  [API-Sports] Consultando eventos en vivo para Maardu vs FC Tallinn (fixture: 1519612)
2026-08-15T14:18:45.663586651Z [inf]  [API-Sports] Consultando eventos en vivo para Mārupe vs Super Nova 2 (fixture: 1529615)
2026-08-15T14:18:45.663589457Z [inf]  [API-Sports] Consultando eventos en vivo para Pakhtakor II vs Lochin (fixture: 1531081)
2026-08-15T14:18:45.663592417Z [inf]  [API-Sports] Consultando eventos en vivo para Sevastopol vs Astrakhan (fixture: 1536019)
2026-08-15T14:18:45.663597272Z [inf]  [API-Sports] Consultando eventos en vivo para Rubin Yalta vs Izberbash (fixture: 1536254)
2026-08-15T14:18:45.663600103Z [inf]  [API-Sports] Consultando eventos en vivo para Jaro 2 vs Huima / Urho (fixture: 1541755)
2026-08-15T14:18:45.663604260Z [inf]  [API-Sports] Consultando eventos en vivo para Selfoss vs Fjolnir (fixture: 1543455)
2026-08-15T14:18:45.663607069Z [inf]  [API-Sports] Consultando eventos en vivo para Hamilton Academical vs Airdrie United (fixture: 1557018)
2026-08-15T14:18:45.663609922Z [inf]  [API-Sports] Consultando eventos en vivo para Leyton Orient vs Sheffield Wednesday (fixture: 1564244)
2026-08-15T14:18:45.665040425Z [inf]  [API-Sports] Consultando estadísticas en vivo para IFK Skövde vs Herrestads (fixture: 1510635)
2026-08-15T14:18:45.665047518Z [inf]  [API-Sports] Consultando estadísticas en vivo para Jaro 2 vs Huima / Urho (fixture: 1541755)
2026-08-15T14:18:45.665052616Z [inf]  [API-Sports] Consultando estadísticas en vivo para Hamilton Academical vs Airdrie United (fixture: 1557018)
2026-08-15T14:18:45.665056664Z [inf]  [API-Sports] Consultando estadísticas en vivo para Kolkheti Poti vs Telavi (fixture: 1507196)
2026-08-15T14:18:45.665060543Z [inf]  [API-Sports] Consultando estadísticas en vivo para Pakhtakor II vs Lochin (fixture: 1531081)
2026-08-15T14:18:45.665065429Z [inf]  [API-Sports] Consultando estadísticas en vivo para Leyton Orient vs Sheffield Wednesday (fixture: 1564244)
2026-08-15T14:18:45.665068632Z [inf]  [API-Sports] Consultando estadísticas en vivo para Mārupe vs Super Nova 2 (fixture: 1529615)
2026-08-15T14:18:45.665072199Z [inf]  [API-Sports] Consultando estadísticas en vivo para KFUM Oslo vs Lillestrom (fixture: 1494736)
2026-08-15T14:18:45.665075219Z [inf]  [API-Sports] Consultando estadísticas en vivo para Laholm vs Jonkopings Sodra (fixture: 1504502)
2026-08-15T14:18:45.665089384Z [inf]  [API-Sports] Consultando estadísticas en vivo para Häcken II W vs Linköping W (fixture: 1501446)
2026-08-15T14:18:45.665106378Z [inf]  [API-Sports] Consultando estadísticas en vivo para Maardu vs FC Tallinn (fixture: 1519612)
2026-08-15T14:18:45.665111896Z [inf]  [API-Sports] Consultando estadísticas en vivo para Sevastopol vs Astrakhan (fixture: 1536019)
2026-08-15T14:18:45.665117241Z [inf]  [API-Sports] Consultando estadísticas en vivo para Selfoss vs Fjolnir (fixture: 1543455)
2026-08-15T14:18:45.665121283Z [inf]  [API-Sports] Consultando estadísticas en vivo para Rubin Yalta vs Izberbash (fixture: 1536254)
2026-08-15T14:19:15.670808134Z [inf]  [2:19:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:19:15.670818965Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:19:45.670334912Z [inf]  [2:19:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:19:45.670339596Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:20:15.731270020Z [inf]  [2:20:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:20:15.731273953Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:20:45.402303326Z [inf]  [2:20:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:20:45.402308943Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:21:15.415375630Z [inf]  [2:21:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:21:15.415381305Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:21:45.398829277Z [inf]  [2:21:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:21:45.398831826Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:22:15.404189539Z [inf]  [2:22:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:22:15.404192499Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:22:45.433253073Z [inf]  [2:22:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:22:45.433256657Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:23:15.119194551Z [inf]  [API-Sports] Consultando eventos en vivo para Pakhtakor II vs Lochin (fixture: 1531081)
2026-08-15T14:23:15.119201724Z [inf]  [API-Sports] Consultando eventos en vivo para Sevastopol vs Astrakhan (fixture: 1536019)
2026-08-15T14:23:15.119206313Z [inf]  [API-Sports] Consultando eventos en vivo para Rubin Yalta vs Izberbash (fixture: 1536254)
2026-08-15T14:23:15.119210084Z [inf]  [API-Sports] Consultando eventos en vivo para Jaro 2 vs Huima / Urho (fixture: 1541755)
2026-08-15T14:23:15.119213807Z [inf]  [API-Sports] Consultando eventos en vivo para Selfoss vs Fjolnir (fixture: 1543455)
2026-08-15T14:23:15.119218256Z [inf]  [API-Sports] Consultando eventos en vivo para Hamilton Academical vs Airdrie United (fixture: 1557018)
2026-08-15T14:23:15.119223059Z [inf]  [API-Sports] Consultando eventos en vivo para Leyton Orient vs Sheffield Wednesday (fixture: 1564244)
2026-08-15T14:23:15.119224681Z [inf]  [2:23:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:23:15.119232589Z [inf]  [SafeOdds] Descargados momios en vivo para 157 partidos.
2026-08-15T14:23:15.119236910Z [inf]  [API-Sports] Consultando eventos en vivo para KFUM Oslo vs Lillestrom (fixture: 1494736)
2026-08-15T14:23:15.119245344Z [inf]  [API-Sports] Consultando eventos en vivo para Häcken II W vs Linköping W (fixture: 1501446)
2026-08-15T14:23:15.119253273Z [inf]  [API-Sports] Consultando eventos en vivo para Laholm vs Jonkopings Sodra (fixture: 1504502)
2026-08-15T14:23:15.119257785Z [inf]  [API-Sports] Consultando eventos en vivo para Kolkheti Poti vs Telavi (fixture: 1507196)
2026-08-15T14:23:15.119276538Z [inf]  [API-Sports] Consultando eventos en vivo para IFK Skövde vs Herrestads (fixture: 1510635)
2026-08-15T14:23:15.119280320Z [inf]  [API-Sports] Consultando eventos en vivo para Maardu vs FC Tallinn (fixture: 1519612)
2026-08-15T14:23:15.119283565Z [inf]  [API-Sports] Consultando eventos en vivo para Mārupe vs Super Nova 2 (fixture: 1529615)
2026-08-15T14:23:15.121029545Z [inf]  [API-Sports] Consultando estadísticas en vivo para Jaro 2 vs Huima / Urho (fixture: 1541755)
2026-08-15T14:23:15.121036711Z [inf]  [API-Sports] Consultando estadísticas en vivo para Maardu vs FC Tallinn (fixture: 1519612)
2026-08-15T14:23:15.121041069Z [inf]  [API-Sports] Consultando estadísticas en vivo para Sevastopol vs Astrakhan (fixture: 1536019)
2026-08-15T14:23:15.121044816Z [inf]  [API-Sports] Consultando estadísticas en vivo para Rubin Yalta vs Izberbash (fixture: 1536254)
2026-08-15T14:23:15.121048023Z [inf]  [API-Sports] Consultando estadísticas en vivo para Häcken II W vs Linköping W (fixture: 1501446)
